NUM	NUMT	PERF	TIME
0	8	18.4491	21.6813s
1	8	18.9462	21.1124s
2	8	22.5273	17.7562s
3	8	38.1387	10.488s
4	8	37.782	10.5871s
5	8	38.392	10.4188s
6	8	38.0468	10.5134s
7	8	28.8034	13.8873s
8	8	28.4657	14.052s
9	8	29.1355	13.729s
10	8	27.8339	14.371s
11	8	30.006	13.3307s
12	8	29.0607	13.7643s
13	8	110.353	3.62473s
14	8	101.234	3.95126s
15	8	106.736	3.74758s
16	8	106.101	3.76999s
