NUM	NUMT	PERF	TIME
0	8	95.0553	4.20808s
1	8	88.3615	4.52686s
2	8	102.719	3.89412s
3	8	102.557	3.90027s
4	8	101.912	3.92497s
5	8	102.063	3.91915s
6	8	84.0855	4.75706s
7	8	107.811	3.71019s
8	8	104.796	3.81693s
9	8	107.466	3.72212s
10	8	90.1571	4.4367s
11	8	101.511	3.94045s
12	8	102.968	3.88469s
13	8	102.28	3.91085s
14	8	103.273	3.87321s
15	8	106.845	3.74376s
16	8	106.548	3.75418s
