NUMBODIES  NUMSTEPS  NUMT  MBCPs    TIME
1024       512       1     74.5215  7.20425s
1024       512       2     113.695  4.72202s
1024       512       4     215.108  2.49582s
1024       512       8     259.401  2.06966s
1024       512       16    377.182  1.42338s
1024       512       31    577.534  0.929592s
