NUMBODIES  NUMSTEPS  NUMT  MBCPs    TIME
1024       512       1     25.1711  21.3288s
1024       512       2     10.7805  49.8003s
1024       512       4     11.0897  48.4117s
1024       512       8     10.7054  50.1495s
1024       512       16    10.1968  52.651s
1024       512       31    12.3258  43.5565s
