NUMS	NUMT	MFLOPS	(VOLUME)
1000	1	13.5528	(14.0625)
2000	1	13.606	(14.0625)
4000	1	16.1626	(14.0625)
8000	1	26.64	(14.0625)
16000	1	34.0182	(14.0625)
32000	1	36.2715	(14.0625)
46340	1	36.1121	(14.0625)
1000	2	27.1656	(14.0625)
2000	2	27.1844	(14.0625)
4000	2	27.1802	(14.0625)
8000	2	37.8224	(14.0625)
16000	2	61.7661	(14.0625)
32000	2	72.0805	(14.0625)
46340	2	71.9516	(14.0625)
1000	4	54.0451	(14.0625)
2000	4	54.3619	(14.0625)
4000	4	54.4921	(14.0625)
8000	4	65.0766	(14.0625)
16000	4	95.3143	(14.0625)
32000	4	128.305	(14.0625)
46340	4	133.224	(14.0625)
1000	8	106.426	(14.0625)
2000	8	107.859	(14.0625)
4000	8	108.445	(14.0625)
8000	8	108.558	(14.0625)
16000	8	162.369	(14.0625)
32000	8	234.368	(14.0625)
46340	8	256.088	(14.0625)
1000	16	201.029	(14.0625)
2000	16	211.409	(14.0625)
4000	16	216.354	(14.0625)
8000	16	213.657	(14.0625)
16000	16	243.95	(14.0625)
32000	16	407.845	(14.0625)
46340	16	471.287	(14.0625)
1000	32	32.43	(14.0625)
2000	32	118.244	(14.0625)
4000	32	228.845	(14.0625)
8000	32	333.063	(14.0625)
16000	32	446.483	(14.0625)
32000	32	465.85	(14.0625)
46340	32	520.262	(14.0625)
1000	64	77.8402	(14.0625)
2000	64	147.717	(14.0625)
4000	64	197.723	(14.0625)
8000	64	207.456	(14.0625)
16000	64	238.759	(14.0625)
32000	64	440.276	(14.0625)
46340	64	505.629	(14.0625)
1000	128	61.4099	(14.0625)
2000	128	144.272	(14.0625)
4000	128	164.311	(14.0625)
8000	128	238.192	(14.0625)
16000	128	307.162	(14.0625)
32000	128	404.6	(14.0625)
46340	128	553.768	(14.0625)
