NUMS	NUMT	MFLOPS	(VOLUME)
1000	1	27.2703	(14.0625)
2000	1	27.4009	(14.0625)
4000	1	18.2587	(14.0625)
8000	1	23.8087	(14.0625)
16000	1	35.7884	(14.0625)
32000	1	36.3048	(14.0625)
46340	1	36.1399	(14.0625)
1000	2	27.1877	(14.0625)
2000	2	27.2498	(14.0625)
4000	2	29.6869	(14.0625)
8000	2	40.9151	(14.0625)
16000	2	65.1422	(14.0625)
32000	2	70.3742	(14.0625)
46340	2	71.3703	(14.0625)
1000	4	54.0523	(14.0625)
2000	4	54.3876	(14.0625)
4000	4	54.4039	(14.0625)
8000	4	63.3846	(14.0625)
16000	4	105.459	(14.0625)
32000	4	135.622	(14.0625)
46340	4	139.676	(14.0625)
1000	8	105.669	(14.0625)
2000	8	108.085	(14.0625)
4000	8	108.824	(14.0625)
8000	8	115.754	(14.0625)
16000	8	168.509	(14.0625)
32000	8	244.185	(14.0625)
46340	8	254.31	(14.0625)
1000	16	201.559	(14.0625)
2000	16	211.975	(14.0625)
4000	16	216.447	(14.0625)
8000	16	217.622	(14.0625)
16000	16	262.142	(14.0625)
32000	16	417.31	(14.0625)
46340	16	465.861	(14.0625)
1000	32	32.258	(14.0625)
2000	32	118.636	(14.0625)
4000	32	229.381	(14.0625)
8000	32	303.2	(14.0625)
16000	32	393.466	(14.0625)
32000	32	519.017	(14.0625)
46340	32	535.253	(14.0625)
1000	64	168.823	(14.0625)
2000	64	218.69	(14.0625)
4000	64	230.585	(14.0625)
8000	64	207.02	(14.0625)
16000	64	318.898	(14.0625)
32000	64	458.403	(14.0625)
46340	64	550.883	(14.0625)
1000	128	68.3596	(14.0625)
2000	128	244.73	(14.0625)
4000	128	327.908	(14.0625)
8000	128	239.596	(14.0625)
16000	128	275.341	(14.0625)
32000	128	441.229	(14.0625)
46340	128	544.066	(14.0625)
