NUMS	NUMT	MFLOPS	(VOLUME)
1000	1	13.6558	(14.0625)
2000	1	13.6	(14.0625)
4000	1	16.7056	(14.0625)
8000	1	25.4671	(14.0625)
16000	1	34.2443	(14.0625)
32000	1	36.2363	(14.0625)
46340	1	36.1108	(14.0625)
1000	2	27.2751	(14.0625)
2000	2	27.2529	(14.0625)
4000	2	27.1779	(14.0625)
8000	2	40.2894	(14.0625)
16000	2	64.3882	(14.0625)
32000	2	70.2429	(14.0625)
46340	2	71.9077	(14.0625)
1000	4	54.238	(14.0625)
2000	4	54.1644	(14.0625)
4000	4	54.2796	(14.0625)
8000	4	67.249	(14.0625)
16000	4	100.224	(14.0625)
32000	4	133.585	(14.0625)
46340	4	139.676	(14.0625)
1000	8	99.7253	(14.0625)
2000	8	108.251	(14.0625)
4000	8	108.524	(14.0625)
8000	8	117.783	(14.0625)
16000	8	164.565	(14.0625)
32000	8	245.9	(14.0625)
46340	8	256.042	(14.0625)
1000	16	200.391	(14.0625)
2000	16	213.172	(14.0625)
4000	16	216.098	(14.0625)
8000	16	217.701	(14.0625)
16000	16	270.189	(14.0625)
32000	16	442.051	(14.0625)
46340	16	471.48	(14.0625)
1000	32	32.1466	(14.0625)
2000	32	116.556	(14.0625)
4000	32	228.962	(14.0625)
8000	32	351.115	(14.0625)
16000	32	424.923	(14.0625)
32000	32	508.669	(14.0625)
46340	32	544.384	(14.0625)
1000	64	141.992	(14.0625)
2000	64	136.79	(14.0625)
4000	64	217.247	(14.0625)
8000	64	215.016	(14.0625)
16000	64	254.993	(14.0625)
32000	64	440.855	(14.0625)
46340	64	540.896	(14.0625)
1000	128	144.346	(14.0625)
2000	128	259.422	(14.0625)
4000	128	283.018	(14.0625)
8000	128	242.789	(14.0625)
16000	128	258.373	(14.0625)
32000	128	447.157	(14.0625)
46340	128	603.371	(14.0625)
