NUMS	NUMT	MFLOPS	(VOLUME)
1000	1	27.3548	(14.0625)
2000	1	13.6313	(14.0625)
4000	1	17.7659	(14.0625)
8000	1	26.7271	(14.0625)
16000	1	34.6629	(14.0625)
32000	1	36.305	(14.0625)
46340	1	36.3635	(14.0625)
1000	2	27.1689	(14.0625)
2000	2	27.2765	(14.0625)
4000	2	28.5162	(14.0625)
8000	2	40.6946	(14.0625)
16000	2	58.4533	(14.0625)
32000	2	70.2765	(14.0625)
46340	2	71.713	(14.0625)
1000	4	54.0095	(14.0625)
2000	4	54.3953	(14.0625)
4000	4	54.3631	(14.0625)
8000	4	66.8425	(14.0625)
16000	4	105.899	(14.0625)
32000	4	132.985	(14.0625)
46340	4	138.802	(14.0625)
1000	8	106.3	(14.0625)
2000	8	108.319	(14.0625)
4000	8	108.653	(14.0625)
8000	8	111.596	(14.0625)
16000	8	162.062	(14.0625)
32000	8	221.647	(14.0625)
46340	8	256.202	(14.0625)
1000	16	201.744	(14.0625)
2000	16	212.995	(14.0625)
4000	16	216.068	(14.0625)
8000	16	217.659	(14.0625)
16000	16	280.137	(14.0625)
32000	16	442.794	(14.0625)
46340	16	465.832	(14.0625)
1000	32	32.2367	(14.0625)
2000	32	117.273	(14.0625)
4000	32	226.083	(14.0625)
8000	32	295.035	(14.0625)
16000	32	309.695	(14.0625)
32000	32	453.114	(14.0625)
46340	32	570.783	(14.0625)
1000	64	91.105	(14.0625)
2000	64	177.145	(14.0625)
4000	64	190.59	(14.0625)
8000	64	196.741	(14.0625)
16000	64	274.977	(14.0625)
32000	64	456.671	(14.0625)
46340	64	571.145	(14.0625)
1000	128	107.948	(14.0625)
2000	128	144.794	(14.0625)
4000	128	221.072	(14.0625)
8000	128	250.636	(14.0625)
16000	128	252.925	(14.0625)
32000	128	506.947	(14.0625)
46340	128	587.768	(14.0625)
