NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
2048          1           2048             0.096
2048          2           1024             0.096
2048          4           512              0.097
2048          8           256              0.096
2048          32          64               0.093
2048          64          32               0.093
2048          128         16               0.094
2048          256         8                0.095
2048          512         4                0.095
2048          1024        2                0.093
