NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          128         8                0.048 
2048          128         16               0.096 
4096          128         32               0.185 
8192          128         64               0.383 
16384         128         128              0.719 
32768         128         256              1.483 
65536         128         512              0.367 
131072        128         1024             0.792 
262144        128         2048             1.589 
524288        128         4096             3.218 
1048576       128         8192             5.886 
2097152       128         16384            10.233
4194304       128         32768            18.328
8388608       128         65536            34.293
