NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
65536         1           65536            0.359
65536         2           32768            0.361
65536         4           16384            0.360
65536         8           8192             0.361
65536         32          2048             0.337
65536         64          1024             0.363
65536         128         512              0.355
65536         256         256              0.363
65536         512         128              0.367
65536         1024        64               0.362
