NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
4194304       1           4194304          18.628
4194304       2           2097152          19.451
4194304       4           1048576          19.409
4194304       8           524288           19.343
4194304       32          131072           18.825
4194304       64          65536            18.560
4194304       128         32768            18.678
4194304       256         16384            19.565
4194304       512         8192             19.353
4194304       1024        4096             18.691
