NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          512         2                0.047 
2048          512         4                0.099 
4096          512         8                0.190 
8192          512         16               0.385 
16384         512         32               0.778 
32768         512         64               1.521 
65536         512         128              0.359 
131072        512         256              0.803 
262144        512         512              1.622 
524288        512         1024             3.242 
1048576       512         2048             5.731 
2097152       512         4096             10.770
4194304       512         8192             19.606
8388608       512         16384            35.738
