NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          8           128              0.047 
2048          8           256              0.095 
4096          8           512              0.186 
8192          8           1024             0.374 
16384         8           2048             0.781 
32768         8           4096             1.518 
65536         8           8192             0.358 
131072        8           16384            0.794 
262144        8           32768            1.656 
524288        8           65536            3.248 
1048576       8           131072           5.857 
2097152       8           262144           10.856
4194304       8           524288           18.897
8388608       8           1048576          35.439
