NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
262144        1           262144           1.629
262144        2           131072           1.637
262144        4           65536            1.675
262144        8           32768            1.668
262144        32          8192             1.696
262144        64          4096             1.675
262144        128         2048             1.650
262144        256         1024             1.610
262144        512         512              1.610
262144        1024        256              1.635
