NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
4096          1           4096             0.193
4096          2           2048             0.190
4096          4           1024             0.190
4096          8           512              0.198
4096          32          128              0.195
4096          64          64               0.190
4096          128         32               0.182
4096          256         16               0.076
4096          512         8                0.192
4096          1024        4                0.197
