NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
65536         1           65536            0.381
65536         2           32768            0.351
65536         4           16384            0.352
65536         8           8192             0.361
65536         32          2048             0.348
65536         64          1024             0.398
65536         128         512              0.362
65536         256         256              0.373
65536         512         128              0.357
65536         1024        64               0.347
