NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          64          16               0.049 
2048          64          32               0.098 
4096          64          64               0.191 
8192          64          128              0.382 
16384         64          256              0.752 
32768         64          512              1.524 
65536         64          1024             0.353 
131072        64          2048             0.802 
262144        64          4096             1.686 
524288        64          8192             3.276 
1048576       64          16384            5.661 
2097152       64          32768            10.563
4194304       64          65536            18.952
8388608       64          131072           33.892
