NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          32          32               0.047 
2048          32          64               0.101 
4096          32          128              0.186 
8192          32          256              0.256 
16384         32          512              0.728 
32768         32          1024             1.525 
65536         32          2048             0.350 
131072        32          4096             0.781 
262144        32          8192             1.665 
524288        32          16384            3.205 
1048576       32          32768            5.709 
2097152       32          65536            10.523
4194304       32          131072           18.688
8388608       32          262144           33.951
