NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          512         2                0.048 
2048          512         4                0.097 
4096          512         8                0.185 
8192          512         16               0.388 
16384         512         32               0.758 
32768         512         64               1.540 
65536         512         128              0.356 
131072        512         256              0.796 
262144        512         512              1.635 
524288        512         1024             3.269 
1048576       512         2048             5.054 
2097152       512         4096             10.392
4194304       512         8192             18.725
8388608       512         16384            34.895
