NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
131072        1           131072           0.757
131072        2           65536            0.790
131072        4           32768            0.821
131072        8           16384            0.766
131072        32          4096             0.790
131072        64          2048             0.800
131072        128         1024             0.812
131072        256         512              0.813
131072        512         256              0.756
131072        1024        128              0.784
