NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          1024        1                0.048 
2048          1024        2                0.095 
4096          1024        4                0.194 
8192          1024        8                0.384 
16384         1024        16               0.755 
32768         1024        32               1.528 
65536         1024        64               0.353 
131072        1024        128              0.783 
262144        1024        256              1.638 
524288        1024        512              2.344 
1048576       1024        1024             5.947 
2097152       1024        2048             10.401
4194304       1024        4096             15.868
8388608       1024        8192             35.550
