NUMS	NUMT	MFLOPS	(VOLUME)
1000	1	15.948	(14.0625)
2000	1	18.1713	(14.0625)
4000	1	16.4759	(14.0625)
8000	1	23.9302	(14.0625)
16000	1	35.8195	(14.0625)
32000	1	35.7712	(14.0625)
46340	1	36.3619	(14.0625)
1000	2	27.1592	(14.0625)
2000	2	27.1969	(14.0625)
4000	2	27.2024	(14.0625)
8000	2	38.7685	(14.0625)
16000	2	61.3294	(14.0625)
32000	2	71.1016	(14.0625)
46340	2	71.615	(14.0625)
1000	4	54.1021	(14.0625)
2000	4	54.3873	(14.0625)
4000	4	54.5545	(14.0625)
8000	4	69.7065	(14.0625)
16000	4	106.12	(14.0625)
32000	4	134.089	(14.0625)
46340	4	137.843	(14.0625)
1000	8	106.065	(14.0625)
2000	8	108.037	(14.0625)
4000	8	108.703	(14.0625)
8000	8	116.842	(14.0625)
16000	8	163.42	(14.0625)
32000	8	222.723	(14.0625)
46340	8	245.575	(14.0625)
1000	16	200.305	(14.0625)
2000	16	212.299	(14.0625)
4000	16	216.534	(14.0625)
8000	16	217.882	(14.0625)
16000	16	251.459	(14.0625)
32000	16	421.156	(14.0625)
46340	16	465.877	(14.0625)
1000	32	32.9697	(14.0625)
2000	32	118.007	(14.0625)
4000	32	229.63	(14.0625)
8000	32	303.942	(14.0625)
16000	32	436.422	(14.0625)
32000	32	519.564	(14.0625)
46340	32	560.844	(14.0625)
1000	64	122.256	(14.0625)
2000	64	168.23	(14.0625)
4000	64	146.153	(14.0625)
8000	64	197.232	(14.0625)
16000	64	280.924	(14.0625)
32000	64	398.121	(14.0625)
46340	64	581.563	(14.0625)
1000	128	111.837	(14.0625)
2000	128	100.855	(14.0625)
4000	128	259.017	(14.0625)
8000	128	235.504	(14.0625)
16000	128	262.868	(14.0625)
32000	128	490.816	(14.0625)
46340	128	501.357	(14.0625)
