NUMS	NUMT	MFLOPS	(VOLUME)
1000	1	34.3623	(14.0625)
2000	1	27.4064	(14.0625)
4000	1	15.7549	(14.0625)
8000	1	23.2611	(14.0625)
16000	1	33.6319	(14.0625)
32000	1	35.1089	(14.0625)
46340	1	36.0166	(14.0625)
1000	2	27.2751	(14.0625)
2000	2	27.2322	(14.0625)
4000	2	29.388	(14.0625)
8000	2	40.8707	(14.0625)
16000	2	65.2727	(14.0625)
32000	2	70.232	(14.0625)
46340	2	71.3323	(14.0625)
1000	4	54.0848	(14.0625)
2000	4	54.3798	(14.0625)
4000	4	54.331	(14.0625)
8000	4	64.3549	(14.0625)
16000	4	106.728	(14.0625)
32000	4	135.808	(14.0625)
46340	4	138.077	(14.0625)
1000	8	104.795	(14.0625)
2000	8	108.172	(14.0625)
4000	8	108.2	(14.0625)
8000	8	108.704	(14.0625)
16000	8	166.466	(14.0625)
32000	8	239.824	(14.0625)
46340	8	245.503	(14.0625)
1000	16	199.308	(14.0625)
2000	16	213.002	(14.0625)
4000	16	216.75	(14.0625)
8000	16	217.829	(14.0625)
16000	16	246.195	(14.0625)
32000	16	394.204	(14.0625)
46340	16	466.037	(14.0625)
1000	32	31.6185	(14.0625)
2000	32	117.111	(14.0625)
4000	32	226.021	(14.0625)
8000	32	226.554	(14.0625)
16000	32	281.686	(14.0625)
32000	32	507.801	(14.0625)
46340	32	564.235	(14.0625)
1000	64	57.01	(14.0625)
2000	64	183.937	(14.0625)
4000	64	203.722	(14.0625)
8000	64	214.245	(14.0625)
16000	64	282.394	(14.0625)
32000	64	480.46	(14.0625)
46340	64	605.823	(14.0625)
1000	128	172.2	(14.0625)
2000	128	170.181	(14.0625)
4000	128	285.276	(14.0625)
8000	128	201.649	(14.0625)
16000	128	254.899	(14.0625)
32000	128	500.594	(14.0625)
46340	128	531.633	(14.0625)
