NUMS	NUMT	MFLOPS	(VOLUME)
1000	1	13.678	(14.0625)
2000	1	13.6132	(14.0625)
4000	1	16.3989	(14.0625)
8000	1	26.8904	(14.0625)
16000	1	34.1533	(14.0625)
32000	1	35.9929	(14.0625)
46340	1	36.3237	(14.0625)
1000	2	27.1906	(14.0625)
2000	2	27.1991	(14.0625)
4000	2	29.1366	(14.0625)
8000	2	40.8344	(14.0625)
16000	2	58.5325	(14.0625)
32000	2	70.2129	(14.0625)
46340	2	72.456	(14.0625)
1000	4	53.9418	(14.0625)
2000	4	54.3787	(14.0625)
4000	4	54.4046	(14.0625)
8000	4	61.6328	(14.0625)
16000	4	101.82	(14.0625)
32000	4	134.679	(14.0625)
46340	4	139.986	(14.0625)
1000	8	106.142	(14.0625)
2000	8	106.647	(14.0625)
4000	8	108.906	(14.0625)
8000	8	108.695	(14.0625)
16000	8	155.278	(14.0625)
32000	8	235.091	(14.0625)
46340	8	251.058	(14.0625)
1000	16	199.318	(14.0625)
2000	16	213.74	(14.0625)
4000	16	216.741	(14.0625)
8000	16	217.961	(14.0625)
16000	16	264.015	(14.0625)
32000	16	426.445	(14.0625)
46340	16	465.752	(14.0625)
1000	32	32.7019	(14.0625)
2000	32	119.006	(14.0625)
4000	32	267.33	(14.0625)
8000	32	320.887	(14.0625)
16000	32	484.358	(14.0625)
32000	32	511.162	(14.0625)
46340	32	512.541	(14.0625)
1000	64	92.7015	(14.0625)
2000	64	123.184	(14.0625)
4000	64	176.929	(14.0625)
8000	64	219.387	(14.0625)
16000	64	284.701	(14.0625)
32000	64	353.353	(14.0625)
46340	64	542.911	(14.0625)
1000	128	179.382	(14.0625)
2000	128	243.459	(14.0625)
4000	128	385.1	(14.0625)
8000	128	332.5	(14.0625)
16000	128	274.481	(14.0625)
32000	128	413.124	(14.0625)
46340	128	529.732	(14.0625)
