NUMS	NUMT	MFLOPS	(VOLUME)
1000	1	13.6297	(14.0625)
2000	1	13.6411	(14.0625)
4000	1	16.1781	(14.0625)
8000	1	23.2285	(14.0625)
16000	1	34.3029	(14.0625)
32000	1	35.8169	(14.0625)
46340	1	36.353	(14.0625)
1000	2	27.27	(14.0625)
2000	2	27.2627	(14.0625)
4000	2	27.1859	(14.0625)
8000	2	39.7192	(14.0625)
16000	2	61.9306	(14.0625)
32000	2	70.8835	(14.0625)
46340	2	71.9116	(14.0625)
1000	4	54.2386	(14.0625)
2000	4	54.4254	(14.0625)
4000	4	54.3509	(14.0625)
8000	4	66.8456	(14.0625)
16000	4	101.845	(14.0625)
32000	4	132.857	(14.0625)
46340	4	138.258	(14.0625)
1000	8	106.399	(14.0625)
2000	8	108.172	(14.0625)
4000	8	108.7	(14.0625)
8000	8	112.688	(14.0625)
16000	8	161.908	(14.0625)
32000	8	232.294	(14.0625)
46340	8	245.316	(14.0625)
1000	16	198.418	(14.0625)
2000	16	213.625	(14.0625)
4000	16	215.108	(14.0625)
8000	16	217.368	(14.0625)
16000	16	246.512	(14.0625)
32000	16	394.814	(14.0625)
46340	16	465.462	(14.0625)
1000	32	32.1865	(14.0625)
2000	32	114.639	(14.0625)
4000	32	227.976	(14.0625)
8000	32	200.466	(14.0625)
16000	32	255.058	(14.0625)
32000	32	480.326	(14.0625)
46340	32	580.944	(14.0625)
1000	64	127.074	(14.0625)
2000	64	151.969	(14.0625)
4000	64	166.238	(14.0625)
8000	64	205.199	(14.0625)
16000	64	258.499	(14.0625)
32000	64	436.521	(14.0625)
46340	64	506.986	(14.0625)
1000	128	102.271	(14.0625)
2000	128	224.509	(14.0625)
4000	128	270.426	(14.0625)
8000	128	223.522	(14.0625)
16000	128	316.201	(14.0625)
32000	128	439.734	(14.0625)
46340	128	519.355	(14.0625)
