NUMS	NUMT	MMPS
1024	4	475.516	
2048	4	1814.19	
4096	4	7348.45	
8192	4	25086.9	
16384	4	111332	
32768	4	459833	
65536	4	1.73951e+06	
131072	4	6.80623e+06	
524288	4	6.23437e+07	
