NUMS	NUMT	MMPS
1024	8	196.772	
2048	8	360.496	
4096	8	1276.9	
8192	8	4989.1	
16384	8	41373.6	
32768	8	82697.1	
65536	8	326887	
131072	8	4.92129e+06	
524288	8	2.55676e+07	
