NUMS	NUMT	MMPS
1024	16	102.55	
2048	16	171.449	
4096	16	1709.02	
8192	16	4050.52	
16384	16	27224.6	
32768	16	85339.1	
65536	16	420504	
131072	16	1.89351e+06	
524288	16	2.08795e+07	
