NUMS	NUMT	MMPS
1024	1	621.896	
2048	1	2492.16	
4096	1	9500.3	
8192	1	38171.3	
16384	1	155877	
32768	1	584504	
65536	1	2.15174e+06	
131072	1	7.09019e+06	
524288	1	8.10376e+07	
