NUMS	NUMT	MMPS
1024	2	522.457	
2048	2	2125.94	
4096	2	8537.82	
8192	2	32623.4	
16384	2	130691	
32768	2	502915	
65536	2	1.93039e+06	
131072	2	7.12877e+06	
524288	2	8.29679e+07	
