NUMS	NUMT	MMPS
1024	2	439.629	
2048	2	2012.61	
4096	2	8208.18	
8192	2	33106.9	
16384	2	126449	
32768	2	492574	
65536	2	1.84649e+06	
131072	2	7.06724e+06	
524288	2	7.02487e+07	
