NUMS	NUMT	MMPS
1024	8	64.6543	
2048	8	604.376	
4096	8	4828.04	
8192	8	11800.4	
16384	8	46659.8	
32768	8	296367	
65536	8	614532	
131072	8	1.43607e+06	
524288	8	7.31224e+07	
