NUMS	NUMT	MMPS
1024	16	66.3195	
2048	16	123.278	
4096	16	824.637	
8192	16	2863.37	
16384	16	15188.2	
32768	16	48395.1	
65536	16	189205	
131072	16	1.04499e+06	
524288	16	1.55244e+07	
