NUMS	NUMT	MMPS
1024	1	572.364	
2048	1	2417.17	
4096	1	9446.74	
8192	1	36612.2	
16384	1	147408	
32768	1	563655	
65536	1	1.96214e+06	
131072	1	6.88558e+06	
524288	1	6.341e+07	
